"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"D5","0603_LED_S1","24.638mm","22.733mm","24.638mm","22.733mm","24.638mm","23.503mm","T","90.00","蟯腑 0603"
"VR1","SOT-223","19.812mm","19.812mm","19.812mm","19.812mm","17.512mm","16.812mm","T","270.00","AMS1117-3.3"
"U1","TSSOP-20","34.544mm","13.716mm","34.544mm","13.716mm","31.694mm","16.641mm","T","270.00","STM32F030F4P6"
"D4","0603_LED_S1","36.576mm","22.86mm","36.576mm","22.86mm","36.576mm","23.63mm","T","90.00","懦腑 0603"
"D3","0603_LED_S1","33.782mm","22.86mm","33.782mm","22.86mm","33.782mm","23.63mm","T","90.00","綻腑 0603"
"D2","0603_LED_S1","27.813mm","22.86mm","27.813mm","22.86mm","27.813mm","23.63mm","T","90.00","酴腑 0603"
"D1","0603_LED_S1","30.988mm","22.733mm","30.988mm","22.733mm","30.988mm","23.503mm","T","90.00","啞腑 0603"
"C1","0805_C","15.113mm","17.78mm","15.113mm","17.78mm","15.113mm","16.89mm","T","90.00","100nF(104) 10% 50V"
"C2","0805_C","15.113mm","22.86mm","15.113mm","22.86mm","15.113mm","21.97mm","T","90.00","100nF(104) 10% 50V"
"C3","0805_C","19.304mm","7.62mm","19.304mm","7.62mm","19.304mm","6.73mm","T","90.00","20pF (200) 5% 50V"
"C4","0805_C","15.24mm","7.62mm","15.24mm","7.62mm","15.24mm","6.73mm","T","90.00","20pF (200) 5% 50V"
"R1","0805_R","24.638mm","26.797mm","24.638mm","26.797mm","24.638mm","25.907mm","T","90.00","1K次 (1001) ㊣1%"
"Y1","SMD-5032_2P","17.272mm","12.192mm","17.272mm","12.192mm","15.222mm","12.192mm","T","360.00","8MHz ㊣20ppm 20pF"
"P1","DC005","6.817mm","20.18mm","-3.683mm","17.78mm","9.817mm","22.58mm","T","360.00","DC5V"
"P2","HDR1X4","40.132mm","23.622mm","40.132mm","27.432mm","40.132mm","27.432mm","T","270.00","Header 4"
"J1","XK7.62-2P","8.636mm","7.874mm","8.636mm","11.684mm","8.636mm","11.684mm","T","0.00","XK7.62-2P"
"C5","0805_C","32.131mm","5.969mm","32.131mm","5.969mm","32.131mm","5.079mm","T","90.00","100nF(104) 10% 50V"
"P3","HDR1X2","34.29mm","2.54mm","33.02mm","2.54mm","33.02mm","2.54mm","T","360.00","Header 2"
"R2","0805_R","36.195mm","5.969mm","36.195mm","5.969mm","36.195mm","6.859mm","T","270.00","10K次 (1002) ㊣1%"
"P4","HDR1X3","50.8mm","4.699mm","50.8mm","2.159mm","50.8mm","2.159mm","T","90.00","Header 3"
"P5","HDR1X3","50.8mm","13.081mm","50.8mm","10.541mm","50.8mm","10.541mm","T","90.00","Header 3"
"P6","HDR1X3","25.908mm","4.572mm","25.908mm","2.032mm","25.908mm","2.032mm","T","90.00","Header 3"
"R3","0805_R","30.988mm","26.797mm","30.988mm","26.797mm","30.988mm","25.907mm","T","90.00","1K次 (1001) ㊣1%"
"R4","0805_R","33.782mm","26.797mm","33.782mm","26.797mm","33.782mm","25.907mm","T","90.00","1K次 (1001) ㊣1%"
"R5","0805_R","36.576mm","26.797mm","36.576mm","26.797mm","36.576mm","25.907mm","T","90.00","1K次 (1001) ㊣1%"
"R6","0805_R","27.813mm","26.797mm","27.813mm","26.797mm","27.813mm","25.907mm","T","90.00","1K次 (1001) ㊣1%"
"R7","0805_R","47.244mm","6.731mm","47.244mm","6.731mm","47.244mm","5.841mm","T","90.00","10K次 (1002) ㊣1%"
"R8","0805_R","47.244mm","15.113mm","47.244mm","15.113mm","47.244mm","14.223mm","T","90.00","10K次 (1002) ㊣1%"
"P7","HDR1X4","25.908mm","14.478mm","25.908mm","18.288mm","25.908mm","18.288mm","T","270.00","Header 4"
"P8","HDR1X3","50.8mm","21.717mm","50.8mm","19.177mm","50.8mm","19.177mm","T","90.00","Header 3"
"P9","HDR1X3","48.26mm","27.432mm","45.72mm","27.432mm","45.72mm","27.432mm","T","360.00","Header 3"
"R9","0805_R","47.244mm","23.749mm","47.244mm","23.749mm","47.244mm","22.859mm","T","90.00","10K次 (1002) ㊣1%"
"P10","HDR1X3","42.164mm","13.208mm","42.164mm","10.668mm","42.164mm","10.668mm","T","90.00","Header 3"

